강의실,A[10층],,B[10층],C[10층],E[9층],AI아카데미,
,A[10층]-1,A[10층]-2,B[10층]-1,C[10층]-1,E[9층]-1,AI아카데미-1,AI아카데미-2
정원,26???[ 재: 20],26???[ 재: 20],33???[ 재: 33],22???[ 재: 20],22???[ 재: 22],20???[ 재: 20],20???[ 재: 20]
9:00,,,,,,AICE 어소시에이트 취득과정1,
,,,,,,전체출석율 : 0%,
,,,,,,수업없음,
9:30,,,파이썬2/주말,,,정원 : 20(20),
,,,전체출석율 : 0%,,,(★AI대구:석득화강사),
,,,수업없음,,,휴강:06/06~07,
,,,정원 : 33(33),,,배정:1,
10:00,,,배정:6,,,토/일,AI로 시작하는 8컷 웹툰 메이커
,,,토/일,,,개:2026-05-30,전체출석율 : 0%
,,,개:2026-05-30,,,종:2026-06-28,수업없음
,,,종:2026-06-21,,,,정원 : 20(20)
,,,,,,,(★AI신촌:유경민강사)
,,,,,,,"5/2,3,9,10,16,17,30,31"
,,,,,,,휴강:5/23~24
10:30,,,,,,,배정:0
11:00,,,,,,,토/일
11:30,,,,,,,개:2026-05-02
12:00,,,,,,,종:2026-05-31
12:30,,,,,,,
13:00,,,,,,,
13:30,,,,,,,
14:00,나만의 GPT 올인원 로드맵,빅데이터분석기사실기2/주말,자바2/주말,네트워크1/주말,정보처리기사실기1/주말,나만의 GPT 올인원 로드맵,
,전체출석율 : 0%,전체출석율 : 0%,전체출석율 : 0%,전체출석율 : 0%,전체출석율 : 0%,전체출석율 : 0%,
,수업없음,수업없음,수업없음,수업없음,수업없음,수업없음,
,정원 : 26(20),정원 : 26(20),정원 : 33(33),정원 : 22(20),정원 : 22(22),정원 : 20(20),
,배정:0,배정:4,배정:3,배정:0,배정:4,(★AI강남:정운국강사),
14:30,토/일,박호범2,토/일,토/일,박상신3,"5/2,3,9,10,16,17,30,31",
15:00,개:2026-05-02,토/일,개:2026-05-30,개:2026-05-30,토/일,휴강:05/23~24,
15:30,종:2026-05-31,개:2026-05-09,종:2026-06-21,종:2026-06-21,개:2026-05-30,배정:1,
16:00,,종:2026-05-31,,,종:2026-06-21,토/일,
16:30,,,,,,개:2026-05-02,
17:00,,,,,,종:2026-05-31,
17:30,,,,,,,
18:00,,,,,,,
