강의실,A[10층],B[10층],C[10층],E[9층],AI아카데미,,
,A[10층]-1,B[10층]-1,C[10층]-1,E[9층]-1,AI아카데미-1,AI아카데미-2,AI아카데미-3
정원,26???[ 재: 20],33???[ 재: 0],22???[ 재: 20],22???[ 재: 22],20???[ 재: 20],20???[ 재: 20],20???[ 재: 20]
9:00,,,,,AICE 어소시에이트 취득과정1,AI자격증 AICE 주니어 취득과정,AICE 어소시에이트 취득과정2
,,,,,전체출석율 : 0%,전체출석율 : 0%,전체출석율 : 0%
,,,,,수업없음,수업없음,수업없음
,,,,,정원 : 20(20),정원 : 20(20),정원 : 20(20)
,,,,,(★AI대구:석득화강사),(★AI신촌:강대성 강사),배정:0
9:30,ADsP/주말,웹기초1/주말,SQLD/주말,정보처리기사필기/주말,휴강:06/06~07,배정:0,토/일
,전체출석율 : 0%,전체출석율 : 0%,전체출석율 : 0%,전체출석율 : 0%,배정:1,토/일,개:2026-07-04
,수업없음,수업없음,수업없음,수업없음,토/일,개:2026-06-27,종:2026-07-26
10:00,정원 : 26(20),정원 : 33(0),정원 : 22(20),정원 : 22(22),개:2026-05-30,종:2026-07-19,
10:30,배정:2,배정:1,배정:0,배정:0,종:2026-06-28,,
11:00,김정우5,토/일,박호범2,박상신3,,,
11:30,토/일,개:2026-06-27,토/일,토/일,,,
12:00,개:2026-07-04,종:2026-07-19,개:2026-07-11,개:2026-06-27,,,
12:30,종:2026-07-26,,종:2026-08-02,종:2026-07-19,,,
13:00,,,,,,,
13:30,,,,,,,
14:00,,자바1/주말,네트워크2/주말,정보처리기사실기2/주말,`,,
,,전체출석율 : 0%,전체출석율 : 0%,전체출석율 : 0%,,,
,,수업없음,수업없음,수업없음,,,
,,정원 : 33(0),정원 : 22(20),정원 : 22(22),,,
14:30,,배정:2,배정:0,배정:4,,,
15:00,,토/일,토/일,박상신3,,,
15:30,,개:2026-06-27,개:2026-06-27,토/일,,,
16:00,,종:2026-07-19,종:2026-07-19,개:2026-06-27,,,
16:30,,,,종:2026-07-19,,,
17:00,,,,,,,
17:30,,,,,,,
18:00,,,,,,,
