강의실,A[10층],B[10층],C[10층],AI아카데미
,A[10층]-1,B[10층]-1,C[10층]-1,AI아카데미-1
정원,26???[ 재: 20],33???[ 재: 33],22???[ 재: 20],20???[ 재: 20]
9:00,,,,AICE 어소시에이트 취득과정2
9:30,ADsP/주말,웹기초2/주말,SQLD/주말,전체출석율 : 0%
,전체출석율 : 0%,전체출석율 : 0%,전체출석율 : 0%,수업없음
,수업없음,수업없음,수업없음,정원 : 20(20)
10:00,정원 : 26(20),정원 : 33(33),정원 : 22(20),배정:0
10:30,배정:2,배정:1,배정:0,토/일
11:00,김정우5,토/일,박호범2,개:2026-07-04
11:30,토/일,개:2026-07-25,토/일,종:2026-07-26
12:00,개:2026-07-04,종:2026-08-16,개:2026-07-11,
12:30,종:2026-07-26,,종:2026-08-02,
13:00,,,,
13:30,,,,
14:00,빅데이터분석기사필기/주말,자바2/주말,,
,전체출석율 : 0%,전체출석율 : 0%,,
,수업없음,수업없음,,
,정원 : 26(20),정원 : 33(33),,
14:30,배정:0,배정:2,,
15:00,박호범2,토/일,,
15:30,토/일,개:2026-07-25,,
16:00,개:2026-07-25,종:2026-08-16,,
16:30,종:2026-08-23,,,
17:00,,,,
17:30,,,,
18:00,,,,
