강의실,A[10층],,B[10층],C[10층],E[9층],AI아카데미
,A[10층]-1,A[10층]-2,B[10층]-1,C[10층]-1,E[9층]-1,AI아카데미-1
정원,26???[ 재: 20],26???[ 재: 20],33???[ 재: 33],22???[ 재: 20],22???[ 재: 22],20???[ 재: 20]
9:00,,,,,,AI자격증 AICE 주니어 취득과정
,,,,,,전체출석율 : 0%
,,,,,,수업없음
,,,,,,정원 : 20(20)
,,,,,,(★AI신촌:강대성 강사)
9:30,ADsP/주말,,파이썬1/주말,,정보처리기사실기1/주말,배정:0
,전체출석율 : 0%,,전체출석율 : 0%,,전체출석율 : 0%,토/일
,수업없음,,수업없음,,수업없음,개:2026-08-22
,정원 : 26(20),,정원 : 33(33),,정원 : 22(22),종:2026-09-13
10:00,배정:0,,배정:0,,배정:1,
10:30,김정우5,,토/일,,토/일,
11:00,토/일,,개:2026-08-22,,개:2026-08-22,
11:30,개:2026-09-12,,종:2026-09-13,,종:2026-09-13,
12:00,종:2026-10-18,,,,,
12:30,,,,,,
13:00,,,,,,
13:30,,,,,,
14:00,빅데이터분석기사필기/주말,빅데이터분석기사실기1/주말,자바1/주말,네트워크1/주말,,
,전체출석율 : 0%,전체출석율 : 0%,전체출석율 : 0%,전체출석율 : 0%,,
,수업없음,수업없음,수업없음,수업없음,,
,정원 : 26(20),정원 : 26(20),정원 : 33(33),정원 : 22(20),,
14:30,배정:0,배정:0,배정:1,배정:1,,
15:00,박호범2,박호범2,토/일,토/일,,
15:30,토/일,토/일,개:2026-08-22,개:2026-08-22,,
16:00,개:2026-07-25,개:2026-09-12,종:2026-09-13,종:2026-09-13,,
16:30,종:2026-08-23,종:2026-09-27,,,,
17:00,,,,,,
17:30,,,,,,
18:00,,,,,,
