강의실,A[10층],,B[10층],,C[10층],,,,D[9층],E[9층],,AI아카데미,
,A[10층]-1,A[10층]-2,B[10층]-1,B[10층]-2,C[10층]-1,C[10층]-2,C[10층]-3,C[10층]-4,D[9층]-1,E[9층]-1,E[9층]-2,AI아카데미-1,AI아카데미-2
정원,26???[ 재: 20],26???[ 재: 20],33???[ 재: 33],33???[ 재: 33],22???[ 재: 20],22???[ 재: 20],22???[ 재: 20],22???[ 재: 20],20???[ 재: 20],22???[ 재: 22],22???[ 재: 22],20???[ 재: 20],20???[ 재: 20]
9:00,빅데이터 분석 플랫폼 개발자 양성과정 4,빅데이터 분석 플랫폼 개발자 양성과정 5,AI 활용 소프트웨어 개발자 양성과정 2,AI 활용 소프트웨어 개발자 양성과정 3,,,,,,,,,
9:30,전체출석율 : 0%,전체출석율 : 0%,전체출석율 : 0%,전체출석율 : 0%,,,,,,,,,
10:00,수업없음,수업없음,수업없음,수업없음,,,,,,,,,
10:30,정원 : 26(20),정원 : 26(20),정원 : 33(33),정원 : 33(33),,,,,,,,,
11:00,(휴강:7/17),(휴강:8/17),배정:0,배정:0,,,,,,,,,
11:30,"배정:5(W:5,R:0)","배정:5(W:5,R:0)",월~금,월~금,,,,,,,,,
12:00,석득화,석득화,개:2026-07-22,개:2026-08-24,,,,,,,,,
12:30,월~금,월~금,종:2026-08-21,종:2026-09-23,,,,,,,,,
13:00,개:2026-07-21,개:2026-08-21,,,,,,,,,,,
13:30,종:2026-08-20,종:2026-09-20,,,,,,,,,,,
14:00,,,,,,,,,,,,,
14:30,,,,,,,,,,,,,
15:00,,,,,,,,,,,,,
15:30,,,,,,,,,,,,,
16:00,,,,,,,,,,,,,
16:30,,,,,,,,,,,,,
17:00,,,,,,,,,,,,,
17:30,,,,,,,,,,,,,
18:00,,,,,,,,,,,,,
18:30,,,,,,,,,,,,,
19:00,AI엔지니어 LLM멀티모달5,AI활용 컴퓨터비전 프로젝트1,,,바이브코딩 심화,ChatGPT AI활용,바이브코딩 기초,AI활용 콘텐츠 제작1,AI 활용 Spring 웹개발3,리눅스2,시스템보안1,마케팅 자동화의 모든 것,복붙은 그만! n8n 실무
,전체출석율 : 0%,전체출석율 : 0%,,,전체출석율 : 0%,전체출석율 : 0%,전체출석율 : 0%,전체출석율 : 0%,전체출석율 : 0%,전체출석율 : 0%,전체출석율 : 0%,전체출석율 : 0%,전체출석율 : 0%
,수업없음,수업없음,,,수업없음,수업없음,수업없음,수업없음,수업없음,수업없음,수업없음,수업없음,수업없음
,정원 : 26(20),정원 : 26(20),,,정원 : 22(20),정원 : 22(20),정원 : 22(20),정원 : 22(20),정원 : 20(20),정원 : 22(22),정원 : 22(22),정원 : 20(20),정원 : 20(20)
,배정:2,배정:0,,,배정:0,배정:0,배정:0,배정:0,배정:0,"배정:6(W:1,R:0)",배정:2,(★AI노원:조은하강사),(★AI노원:김현강사)
,석득화,박원민2,,,박원민2,김유경6,박원민2,김유경6,월~금,월수금월수,화목화목금,휴강:08/17,휴강:08/17
19:30,월수금월수,화목화목금,,,월수월수금,화/목,월수월수금,화/목,개:2026-09-08,개:2026-08-12,개:2026-08-13,배정:0,배정:0
20:00,개:2026-08-12,개:2026-08-13,,,개:2026-07-14,개:2026-07-14,개:2026-08-12,개:2026-08-12,종:2026-09-11,종:2026-09-07,종:2026-09-08,월/수/금,월~목
20:30,종:2026-09-07,종:2026-09-08,,,종:2026-08-13,종:2026-08-13,종:2026-09-11,종:2026-09-11,,,,개:2026-08-12,개:2026-08-12
21:00,,,,,,,,,,,,종:2026-09-04,종:2026-09-09
21:30,,,,,,,,,,,,,
22:00,,,,,,,,,,,,,
